identificationType,fileIdentifier,fileSize,ArtifactId,similarity(s),RawLicenseName(s),licenseName(s),licenseURL(s),auther(s),relatedURL(s),name,description
pathSuffix,cucumber-sandwich.jar#\charts\codemirror.zip#\CodeMirror-2.33\LICENSE,1228,?--codemirror--,"0.75697,
0.74666,
0.77805",,"Approved/MIT + own license,
research/cucumber-sandwich.jar#/charts/codemirror.zip#/CodeMirror-2.33/LICENSE",,,,"codemirror
codemirror",
pathSuffix,cucumber-sandwich.jar#\licenses\extreme.indiana.edu.license.TXT,2239,?--extreme.indiana.edu.license.TXT--0,"0.78817,
0.78213,
0.78078",,Approved/Indiana University Extreme! Lab Software License,,,,extreme.indiana.edu.license.TXT,
pathSuffix,elasticsearch-6.2.3\LICENSE.txt,11358,?--elasticsearch--6.2.3,"0.86734,
0.86490,
0.86327",,spdx/Apache-2.0,,,,elasticsearch,
pathSuffix,elasticsearch-6.2.3\NOTICE.txt,191887,?--elasticsearch--6.2.3,"0.96263,
0.96381",,Approved/GPL-3.0 + LGPL-2.1 + MPL-2.0 + CC0-1.0 + Unicode + ICU + BSD-2-Clause + ANTLR-PD + Apache-2.0 + EPL-1.0 + EDL-1.0 + CPL-1.0 + MIT + mecab + HdrHistogram Licensed NOTICE,,,,elasticsearch,
pathSuffix,elasticsearch-6.2.3\lib\elasticsearch-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--elasticsearch--6.2.3.jar#,"0.87247,
0.87206,
0.87174",,spdx/Apache-2.0,,,,elasticsearch,
pathSuffix,elasticsearch-6.2.3\lib\elasticsearch-cli-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--elasticsearch-cli--6.2.3.jar#,"0.86335,
0.86325,
0.86278",,spdx/Apache-2.0,,,,elasticsearch-cli,
pathSuffix,elasticsearch-6.2.3\lib\elasticsearch-core-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--elasticsearch-core--6.2.3.jar#,"0.87121,
0.87044,
0.86739",,spdx/Apache-2.0,,,,elasticsearch-core,
pathSuffix,elasticsearch-6.2.3\lib\elasticsearch-launchers-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--elasticsearch-launchers--6.2.3.jar#,"0.86379,
0.86123,
0.86123",,spdx/Apache-2.0,,,,elasticsearch-launchers,
pathSuffix,elasticsearch-6.2.3\lib\HdrHistogram-2.1.9.jar#\META-INF\maven\org.hdrhistogram\HdrHistogram\pom.xml,9661,org.hdrhistogram--HdrHistogram--2.1.9,1,"Public Domain, per Creative Commons CC0",spdx/CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/,"giltene,
Gil Tene",https://github.com/giltene,HdrHistogram,"HdrHistogram supports the recording and analyzing sampled data value counts across a configurable integer value range with configurable value precision within the range. Value precision is expressed as the number of significant digits in the value recording, and provides control over value quantization behavior across the value range and the subsequent value resolution at any given level."
pathSuffix,elasticsearch-6.2.3\lib\hppc-0.7.1.jar#\META-INF\maven\com.carrotsearch\hppc\pom.xml,18205,com.carrotsearch--hppc--0.7.1,0.5,,spdx/Apache-2.0,,,,HPPC Collections,"High Performance Primitive Collections. Fundamental data structures (maps, sets, lists, stacks, queues) generated for combinations of object and primitive types to conserve JVM memory and speed up execution."
pathSuffix,elasticsearch-6.2.3\lib\jackson-core-2.8.10.jar#\META-INF\LICENSE,332,?--jackson-core--2.8.10.jar#,"0.72403,
0.72294",,Approved/Apache-2.0 licensed NOTICE,,,,jackson-core,
pathSuffix,elasticsearch-6.2.3\lib\jackson-core-2.8.10.jar#\META-INF\NOTICE,822,?--jackson-core--2.8.10.jar#,"0.76224,
0.75877,
0.75637",,Approved/FasterXML_CREDITS_NOTICE,,,,jackson-core,
pathSuffix,elasticsearch-6.2.3\lib\jackson-core-2.8.10.jar#\META-INF\maven\com.fasterxml.jackson.core\jackson-core\pom.xml,5417,com.fasterxml.jackson.core--jackson-core--2.8.10,0.5,,spdx/Apache-2.0,,,,Jackson-core,"Core Jackson abstractions, basic JSON streaming API implementation"
pathSuffix,elasticsearch-6.2.3\lib\jackson-dataformat-cbor-2.8.10.jar#\META-INF\maven\com.fasterxml.jackson.dataformat\jackson-dataformat-cbor\pom.xml,2080,com.fasterxml.jackson.dataformat--jackson-dataformat-cbor--2.8.10,0.5,,spdx/Apache-2.0,,,,Jackson dataformat: CBOR,"Support for reading and writing Concise Binary Object Representation ([CBOR](https://www.rfc-editor.org/info/rfc7049) encoded data using Jackson abstractions (streaming API, data binding, tree model)"
